2020-05-30 05:34:43 status half-installed libx11-6:amd64 2:1.6.7-1
2020-05-30 05:34:43 status unpacked libx11-6:amd64 2:1.6.7-1
2020-05-30 05:34:43 install libxpm4:amd64 <none> 1:3.5.12-1
2020-05-30 05:34:43 status half-installed libxpm4:amd64 1:3.5.12-1
2020-05-30 05:34:43 status unpacked libxpm4:amd64 1:3.5.12-1
2020-05-30 05:34:43 install libgd3:amd64 <none> 2.2.5-5.2
2020-05-30 05:34:43 status half-installed libgd3:amd64 2.2.5-5.2
2020-05-30 05:34:43 status unpacked libgd3:amd64 2.2.5-5.2
2020-05-30 05:34:43 install libgeoip1:amd64 <none> 1.6.12-1
2020-05-30 05:34:43 status half-installed libgeoip1:amd64 1.6.12-1
2020-05-30 05:34:43 status unpacked libgeoip1:amd64 1.6.12-1
2020-05-30 05:34:43 install libgpm2:amd64 <none> 1.20.7-5
2020-05-30 05:34:43 status half-installed libgpm2:amd64 1.20.7-5
2020-05-30 05:34:43 status unpacked libgpm2:amd64 1.20.7-5
2020-05-30 05:34:43 install libicu63:amd64 <none> 63.1-6+deb10u1
2020-05-30 05:34:43 status half-installed libicu63:amd64 63.1-6+deb10u1
2020-05-30 05:34:44 status unpacked libicu63:amd64 63.1-6+deb10u1
2020-05-30 05:34:44 install libncurses6:amd64 <none> 6.1+20181013-2+deb10u2
2020-05-30 05:34:44 status half-installed libncurses6:amd64 6.1+20181013-2+deb10u2
2020-05-30 05:34:44 status unpacked libncurses6:amd64 6.1+20181013-2+deb10u2
2020-05-30 05:34:44 install lsb-base:all <none> 10.2019051400
2020-05-30 05:34:44 status half-installed lsb-base:all 10.2019051400
2020-05-30 05:34:44 status unpacked lsb-base:all 10.2019051400
2020-05-30 05:34:44 install nginx-common:all <none> 1.14.2-2+deb10u1
2020-05-30 05:34:44 status half-installed nginx-common:all 1.14.2-2+deb10u1
2020-05-30 05:34:44 status unpacked nginx-common:all 1.14.2-2+deb10u1
2020-05-30 05:34:44 install libnginx-mod-http-auth-pam:amd64 <none> 1.14.2-2+deb10u1
2020-05-30 05:34:44 status half-installed libnginx-mod-http-auth-pam:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:44 status unpacked libnginx-mod-http-auth-pam:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:44 install libxml2:amd64 <none> 2.9.4+dfsg1-7+b3
2020-05-30 05:34:44 status half-installed libxml2:amd64 2.9.4+dfsg1-7+b3
2020-05-30 05:34:44 status unpacked libxml2:amd64 2.9.4+dfsg1-7+b3
2020-05-30 05:34:45 install libxslt1.1:amd64 <none> 1.1.32-2.2~deb10u1
2020-05-30 05:34:45 status half-installed libxslt1.1:amd64 1.1.32-2.2~deb10u1
2020-05-30 05:34:45 status unpacked libxslt1.1:amd64 1.1.32-2.2~deb10u1
2020-05-30 05:34:45 install libnginx-mod-http-dav-ext:amd64 <none> 1.14.2-2+deb10u1
2020-05-30 05:34:45 status half-installed libnginx-mod-http-dav-ext:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:45 status unpacked libnginx-mod-http-dav-ext:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:45 install libnginx-mod-http-echo:amd64 <none> 1.14.2-2+deb10u1
2020-05-30 05:34:45 status half-installed libnginx-mod-http-echo:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:45 status unpacked libnginx-mod-http-echo:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:45 install libnginx-mod-http-geoip:amd64 <none> 1.14.2-2+deb10u1
2020-05-30 05:34:45 status half-installed libnginx-mod-http-geoip:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:45 status unpacked libnginx-mod-http-geoip:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:45 install libnginx-mod-http-image-filter:amd64 <none> 1.14.2-2+deb10u1
2020-05-30 05:34:45 status half-installed libnginx-mod-http-image-filter:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:45 status unpacked libnginx-mod-http-image-filter:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:45 install libnginx-mod-http-subs-filter:amd64 <none> 1.14.2-2+deb10u1
2020-05-30 05:34:45 status half-installed libnginx-mod-http-subs-filter:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:45 status unpacked libnginx-mod-http-subs-filter:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:45 install libnginx-mod-http-upstream-fair:amd64 <none> 1.14.2-2+deb10u1
2020-05-30 05:34:45 status half-installed libnginx-mod-http-upstream-fair:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:45 status unpacked libnginx-mod-http-upstream-fair:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:45 install libnginx-mod-http-xslt-filter:amd64 <none> 1.14.2-2+deb10u1
2020-05-30 05:34:45 status half-installed libnginx-mod-http-xslt-filter:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:45 status unpacked libnginx-mod-http-xslt-filter:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:45 install libnginx-mod-mail:amd64 <none> 1.14.2-2+deb10u1
2020-05-30 05:34:45 status half-installed libnginx-mod-mail:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:45 status unpacked libnginx-mod-mail:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:45 install libnginx-mod-stream:amd64 <none> 1.14.2-2+deb10u1
2020-05-30 05:34:45 status half-installed libnginx-mod-stream:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:45 status unpacked libnginx-mod-stream:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:45 install libpcre2-8-0:amd64 <none> 10.32-5
2020-05-30 05:34:45 status half-installed libpcre2-8-0:amd64 10.32-5
2020-05-30 05:34:45 status unpacked libpcre2-8-0:amd64 10.32-5
2020-05-30 05:34:45 install libsodium23:amd64 <none> 1.0.17-1
2020-05-30 05:34:45 status half-installed libsodium23:amd64 1.0.17-1
2020-05-30 05:34:45 status unpacked libsodium23:amd64 1.0.17-1
2020-05-30 05:34:46 install libssl1.1:amd64 <none> 1.1.1d-0+deb10u3
2020-05-30 05:34:46 status half-installed libssl1.1:amd64 1.1.1d-0+deb10u3
2020-05-30 05:34:46 status unpacked libssl1.1:amd64 1.1.1d-0+deb10u3
2020-05-30 05:34:46 install nginx-full:amd64 <none> 1.14.2-2+deb10u1
2020-05-30 05:34:46 status half-installed nginx-full:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:46 status unpacked nginx-full:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:46 install nginx:all <none> 1.14.2-2+deb10u1
2020-05-30 05:34:46 status half-installed nginx:all 1.14.2-2+deb10u1
2020-05-30 05:34:46 status unpacked nginx:all 1.14.2-2+deb10u1
2020-05-30 05:34:46 install psmisc:amd64 <none> 23.2-1
2020-05-30 05:34:46 status half-installed psmisc:amd64 23.2-1
2020-05-30 05:34:46 status unpacked psmisc:amd64 23.2-1
2020-05-30 05:34:46 install php-common:all <none> 2:69
2020-05-30 05:34:46 status half-installed php-common:all 2:69
2020-05-30 05:34:46 status unpacked php-common:all 2:69
2020-05-30 05:34:46 install php7.3-common:amd64 <none> 7.3.14-1~deb10u1
2020-05-30 05:34:46 status half-installed php7.3-common:amd64 7.3.14-1~deb10u1
2020-05-30 05:34:46 status unpacked php7.3-common:amd64 7.3.14-1~deb10u1
2020-05-30 05:34:46 install php7.3-json:amd64 <none> 7.3.14-1~deb10u1
2020-05-30 05:34:46 status half-installed php7.3-json:amd64 7.3.14-1~deb10u1
2020-05-30 05:34:46 status unpacked php7.3-json:amd64 7.3.14-1~deb10u1
2020-05-30 05:34:46 install php7.3-opcache:amd64 <none> 7.3.14-1~deb10u1
2020-05-30 05:34:46 status half-installed php7.3-opcache:amd64 7.3.14-1~deb10u1
2020-05-30 05:34:46 status unpacked php7.3-opcache:amd64 7.3.14-1~deb10u1
2020-05-30 05:34:46 install php7.3-readline:amd64 <none> 7.3.14-1~deb10u1
2020-05-30 05:34:46 status half-installed php7.3-readline:amd64 7.3.14-1~deb10u1
2020-05-30 05:34:46 status unpacked php7.3-readline:amd64 7.3.14-1~deb10u1
2020-05-30 05:34:46 install php7.3-cli:amd64 <none> 7.3.14-1~deb10u1
2020-05-30 05:34:46 status half-installed php7.3-cli:amd64 7.3.14-1~deb10u1
2020-05-30 05:34:47 status unpacked php7.3-cli:amd64 7.3.14-1~deb10u1
2020-05-30 05:34:47 install php7.3-fpm:amd64 <none> 7.3.14-1~deb10u1
2020-05-30 05:34:47 status half-installed php7.3-fpm:amd64 7.3.14-1~deb10u1
2020-05-30 05:34:47 status unpacked php7.3-fpm:amd64 7.3.14-1~deb10u1
2020-05-30 05:34:47 startup packages configure
2020-05-30 05:34:47 configure libexpat1:amd64 2.2.6-2+deb10u1 <none>
2020-05-30 05:34:47 status unpacked libexpat1:amd64 2.2.6-2+deb10u1
2020-05-30 05:34:47 status half-configured libexpat1:amd64 2.2.6-2+deb10u1
2020-05-30 05:34:47 status installed libexpat1:amd64 2.2.6-2+deb10u1
2020-05-30 05:34:47 configure lsb-base:all 10.2019051400 <none>
2020-05-30 05:34:47 status unpacked lsb-base:all 10.2019051400
2020-05-30 05:34:47 status half-configured lsb-base:all 10.2019051400
2020-05-30 05:34:47 status installed lsb-base:all 10.2019051400
2020-05-30 05:34:47 configure libxau6:amd64 1:1.0.8-1+b2 <none>
2020-05-30 05:34:47 status unpacked libxau6:amd64 1:1.0.8-1+b2
2020-05-30 05:34:47 status half-configured libxau6:amd64 1:1.0.8-1+b2
2020-05-30 05:34:47 status installed libxau6:amd64 1:1.0.8-1+b2
2020-05-30 05:34:47 configure libapparmor1:amd64 2.13.2-10 <none>
2020-05-30 05:34:47 status unpacked libapparmor1:amd64 2.13.2-10
2020-05-30 05:34:47 status half-configured libapparmor1:amd64 2.13.2-10
2020-05-30 05:34:47 status installed libapparmor1:amd64 2.13.2-10
2020-05-30 05:34:47 configure libsodium23:amd64 1.0.17-1 <none>
2020-05-30 05:34:47 status unpacked libsodium23:amd64 1.0.17-1
2020-05-30 05:34:47 status half-configured libsodium23:amd64 1.0.17-1
2020-05-30 05:34:47 status installed libsodium23:amd64 1.0.17-1
2020-05-30 05:34:47 configure libgpm2:amd64 1.20.7-5 <none>
2020-05-30 05:34:47 status unpacked libgpm2:amd64 1.20.7-5
2020-05-30 05:34:47 status half-configured libgpm2:amd64 1.20.7-5
2020-05-30 05:34:47 status installed libgpm2:amd64 1.20.7-5
2020-05-30 05:34:47 configure mime-support:all 3.62 <none>
2020-05-30 05:34:47 status unpacked mime-support:all 3.62
2020-05-30 05:34:47 status half-configured mime-support:all 3.62
2020-05-30 05:34:47 status installed mime-support:all 3.62
2020-05-30 05:34:47 configure libmagic-mgc:amd64 1:5.35-4+deb10u1 <none>
2020-05-30 05:34:47 status unpacked libmagic-mgc:amd64 1:5.35-4+deb10u1
2020-05-30 05:34:47 status half-configured libmagic-mgc:amd64 1:5.35-4+deb10u1
2020-05-30 05:34:47 status installed libmagic-mgc:amd64 1:5.35-4+deb10u1
2020-05-30 05:34:47 configure psmisc:amd64 23.2-1 <none>
2020-05-30 05:34:47 status unpacked psmisc:amd64 23.2-1
2020-05-30 05:34:47 status half-configured psmisc:amd64 23.2-1
2020-05-30 05:34:47 status installed psmisc:amd64 23.2-1
2020-05-30 05:34:47 configure libssl1.1:amd64 1.1.1d-0+deb10u3 <none>
2020-05-30 05:34:47 status unpacked libssl1.1:amd64 1.1.1d-0+deb10u3
2020-05-30 05:34:47 status half-configured libssl1.1:amd64 1.1.1d-0+deb10u3
2020-05-30 05:34:47 status installed libssl1.1:amd64 1.1.1d-0+deb10u3
2020-05-30 05:34:47 configure libargon2-1:amd64 0~20171227-0.2 <none>
2020-05-30 05:34:47 status unpacked libargon2-1:amd64 0~20171227-0.2
2020-05-30 05:34:47 status half-configured libargon2-1:amd64 0~20171227-0.2
